# Year	Installed	Reinstalled	Upgraded	Downgraded	Removed
2009	606
2010	329
2011	218
2012	131
2013	258
2014	255
2015	266
2016	501
2017	501
2018	308
2019	6


2009	0
2010	0
2011	0
2012	0
2013	3
2014	4
2015	20
2016	12
2017	187
2018	47
2019	0


2009	715
2010	2071
2011	2682
2012	2681
2013	3192
2014	2982
2015	3153
2016	3310
2017	4266
2018	4675
2019	47


2009	0
2010	0
2011	0
2012	0
2013	1
2014	5
2015	1
2016	1
2017	5
2018	5
2019	0


2009	47
2010	113
2011	138
2012	104
2013	223
2014	153
2015	305
2016	276
2017	429
2018	387
2019	10
